Date,Type,Reg.,Route,"Flight
Time","Day
Landings","Night
Landings","Actual
Instrument","Simulated
Instrument",Night,ME,VP,RU,"Cross
Country",Solo,PIC,Dual,Notes
2006-05-11,DR221 ,FBPKH ,Local LFPZ ,0.9,1,  ,  ,  ,  ,,,,  ,  ,  ,0.9,DGT
2006-05-13,DR221 ,FBPKH ,Local LFPZ ,0.7,1,  ,  ,  ,  ,,,,  ,  ,  ,0.7,SRE
2006-05-13,DR221 ,FBPRT ,Local LFPZ ,0.8,1,  ,  ,  ,  ,,,,  ,  ,  ,0.8,BLI
2006-05-23,DR221 ,FBPRT ,Local LFPZ ,0.7,1,  ,  ,  ,  ,,,,  ,  ,  ,0.7,SRE
2006-05-28,DR221 ,FBPKH ,Local LFPZ ,0.8,1,  ,  ,  ,  ,,,,  ,  ,  ,0.8,SRE
2006-05-31,DR221 ,FBPRT ,Local LFPZ ,1.0,1,  ,  ,  ,  ,,,,  ,  ,  ,1.0,SRE
2006-06-08,DR221 ,FBPKH ,Tours de piste LFPZ ,0.9,7,  ,  ,  ,  ,,,,  ,  ,  ,0.9,SRE
2006-06-15,DR221 ,FBPRT ,Tours de piste LFPZ ,1.0,7,  ,  ,  ,  ,,,,  ,  ,  ,1.0,SRE
2006-06-22,DR221 ,FBPRT ,Tours de piste LFPZ ,0.8,6,  ,  ,  ,  ,,,,  ,  ,  ,0.8,SRE
2006-06-29,DR221 ,FBPRT ,Tours de piste LFPZ ,0.8,7,  ,  ,  ,  ,,,,  ,  ,  ,0.8,SRE
2006-07-06,DR221 ,FBPKH ,Tours de piste LFPZ ,0.9,7,  ,  ,  ,  ,,,,  ,  ,  ,0.9,SRE
2006-07-13,DR221 ,FBPRT ,Tours de piste LFPZ ,0.9,6,  ,  ,  ,  ,,,,  ,  ,  ,0.9,SRE
2006-07-23,DR221 ,FBPKH ,Tours de piste LFPZ ,1.1,6,  ,  ,  ,  ,,,,  ,  ,  ,1.1,TML
